,id,p,theta,beta,nphe,ein,eout
0,proton,1.27916,0.335038,0.804341,25,0.0656901,0.0441749
1,proton,2.8302400000000003,0.182149,0.9422510000000001,0,0.0329595,0.295308
2,pion,2.57572,0.219536,1.0064899999999999,0,0.0336004,0.415793
3,proton,1.67819,0.484676,0.87577,0,0.0394598,0.056626199999999995
4,pion,1.0417299999999998,0.11595899999999999,0.974725,0,0.06427100000000001,0.0753033
5,proton,1.33318,0.43786099999999994,0.823522,0,0.0357061,0.076173
6,kaon,1.13085,0.47187799999999996,0.9177270000000001,0,0.0446784,0.0585489
7,pion,1.98688,0.344544,1.01176,0,0.025314700000000002,0.0509957
8,proton,0.834211,0.569826,0.668837,0,0.0869764,0.0422522
9,pion,2.44388,0.20915799999999998,0.994927,0,0.0229801,0.14158800000000002
10,pion,1.43801,0.429856,0.987007,0,0.0350652,0.0529183
11,pion,0.6735329999999999,0.42301400000000006,0.972225,0,0.049118800000000004,0.0479744
12,proton,1.12184,0.14251,0.7543569999999999,0,0.0452735,0.101762
13,kaon,1.7607400000000002,0.184997,0.974094,0,0.0354772,0.337194
14,proton,1.10079,0.31817399999999996,0.765595,0,0.0454566,0.0980087
15,pion,1.1155899999999999,0.579354,0.9890690000000001,0,0.0891737,0.180636
16,pion,0.8101010000000001,0.536921,0.994548,0,0.037170999999999996,0.0734722
17,proton,1.06035,0.43847700000000006,0.753003,0,0.16278299999999998,0.0769055
18,pion,2.16587,0.12479100000000001,0.972664,0,0.040878899999999996,0.035797699999999995
19,kaon,3.1931,0.237659,1.00118,0,0.028931099999999998,0.0914168
20,pion,1.5137,0.19004000000000001,1.01381,0,0.0438544,0.0701305
21,proton,0.9134049999999999,0.39936,0.698707,0,0.061112400000000004,0.08354310000000001
22,proton,1.04494,0.379254,0.757742,0,0.059922199999999995,0.109499
23,pion,1.149,0.538488,1.0105899999999999,0,0.0525521,0.0650034
24,proton,1.27657,0.300734,0.812484,0,0.044358,0.155184
25,proton,1.4049,0.323412,0.8256600000000001,0,0.0418402,0.151476
26,pion,0.8474860000000001,0.625581,0.984367,0,0.0373083,0.0567178
27,pion,2.16876,0.387193,0.9941840000000001,0,0.0339208,0.0501717
28,pion,1.7077900000000001,0.152088,1.0087700000000002,0,0.0315862,0.110872
29,proton,1.02815,0.390019,0.729541,0,0.104189,0.036347000000000004
30,proton,1.98825,0.204164,0.8961709999999999,0,0.032639,0.16731500000000002
31,proton,1.27886,0.273915,0.8039850000000001,0,0.0362554,0.06930650000000001
32,pion,1.62539,0.357204,0.986585,0,0.013138,0.152117
33,proton,1.56741,0.30295300000000003,0.865468,0,0.43877299999999997,0.284092
34,proton,3.3286,0.144234,0.970419,0,0.07946900000000001,0.0885328
35,proton,1.67071,0.264881,0.881868,0,0.0362554,0.054612
36,pion,0.692912,0.374733,0.76472,0,0.039505599999999995,0.055436
37,proton,1.62737,0.397373,0.8638459999999999,0,0.09077589999999999,0.095079
38,pion,0.87892,0.432458,1.02799,0,0.042298,0.185901
39,proton,1.65316,0.523353,0.8722469999999999,0,0.027420499999999997,0.0658274
40,proton,1.28252,0.37906999999999996,0.795791,0,0.0381323,0.100252
41,proton,1.18654,0.21645799999999998,0.805701,0,0.0444038,0.18104800000000001
42,proton,2.88594,0.297222,0.954418,0,0.09210349999999999,0.45543599999999995
43,proton,1.88678,0.35972800000000005,0.911791,0,0.08441289999999999,0.47855299999999995
44,proton,1.26268,0.239623,0.804325,0,0.23817800000000003,0.0839551
45,proton,2.01083,0.345557,0.93075,0,0.184161,0.07452510000000001
46,proton,0.843824,0.383484,0.672181,0,0.0892653,0.0466926
47,proton,1.42367,0.321594,0.828349,0,0.0331884,0.0528725
48,pion,1.2958,0.369475,1.00193,0,0.12341500000000001,0.106523
49,proton,1.34386,0.428453,0.811122,0,0.029388900000000003,0.100298
50,proton,1.9491900000000002,0.430148,0.8968389999999999,0,0.375418,0.417166
51,pion,1.54681,0.148118,1.01929,0,0.0265965,0.0417487
52,pion,1.6955799999999999,0.26965,1.01366,0,0.329412,0.182513
53,proton,2.94285,0.261167,0.947767,0,0.0242618,0.0460975
54,pion,1.21996,0.241148,0.9900059999999999,0,0.0953994,0.305516
55,proton,0.853284,0.380094,0.677398,0,0.0640879,0.054474699999999994
56,proton,1.11467,0.22816599999999998,0.772816,0,0.06948960000000001,0.170291
57,proton,1.90188,0.336075,0.871242,0,0.0331426,0.145892
58,proton,0.863966,0.263575,0.727712,90,0.12959500000000002,0.08239869999999999
59,pion,1.54376,0.403898,0.9947790000000001,0,0.027420499999999997,0.0648661
60,positron,1.10491,0.520887,0.9863200000000001,60,0.207736,0.085008
61,pion,1.81598,0.110604,0.97987,63,0.0774548,0.161181
62,pion,0.626841,0.454829,0.9789100000000001,0,0.0789654,0.021881400000000002
63,pion,2.6594900000000004,0.281548,0.9883049999999999,0,0.101259,0.08903639999999999
64,kaon,3.16228,0.163357,0.9888100000000001,0,0.0290684,0.0399176
65,proton,2.11749,0.349529,0.9184329999999999,0,0.0354772,0.143328
66,proton,1.1911200000000002,0.39376300000000003,0.784135,0,0.0448157,0.0656443
67,proton,2.0853,0.331866,0.9127540000000001,0,0.315496,0.310094
68,proton,1.3922299999999999,0.22191100000000002,0.8421649999999999,0,0.0350195,0.06697180000000001
69,proton,1.5729,0.150342,0.837623,0,0.039826,0.06921489999999998
70,kaon,2.13123,0.43906999999999996,0.9901909999999999,0,0.14648699999999998,0.0883955
71,proton,1.8136900000000002,0.289313,0.8897209999999999,0,0.035568800000000005,0.056260000000000004
72,proton,0.9196610000000001,0.47377600000000003,0.702056,0,0.0658274,0.0847334
73,pion,2.25055,0.199818,1.02714,0,0.198627,0.0571298
74,pion,1.03777,0.41255699999999995,0.9922340000000001,0,0.052094299999999996,0.21593
75,proton,1.08675,0.406848,0.762465,0,0.21089499999999997,0.185946
